minute,second,player,team,team_id,possession,start_x,start_y,end_x,end_y,next_shot_xg,leads_to_shot,dx,dy,length,progressive,final_third,box_entry,cross,through,cutback,pass_type,structural_score,xg_norm,importance_raw,importance_norm,time
10,19,Séamus Coleman,Everton,29,20,87.5,65.4,69.2,77.9,0.0,0,-18.299999999999997,12.5,22.161678636782003,0,0,0,0,0,0,Backward,0.0,0.0,0.0,0.0,619
10,20,John Stones,Everton,29,20,69.2,77.9,70.9,64.0,0.0,0,1.7000000000000028,-13.900000000000006,14.003570973148248,0,0,0,0,0,0,Lateral,0.4125000000000001,0.0,0.08899111672868247,0.10469543134891014,620
10,22,Ross Barkley,Everton,29,20,69.0,62.7,56.7,34.1,0.0,0,-12.299999999999997,-28.6,31.132780152116194,0,0,0,0,0,0,Backward,0.3450000000000001,0.0,0.0744289339912617,0.08756345167363393,622
10,31,Moussa Sissoko,Newcastle United,37,21,43.1,66.3,50.3,77.5,0.0,0,7.199999999999996,11.200000000000003,13.314653581674591,0,0,0,0,0,0,Forward,0.97,0.0,0.20926395933775022,0.24619289311137646,631
10,34,Daryl Janmaat,Newcastle United,37,21,58.1,76.4,70.7,68.5,0.0,0,12.600000000000001,-7.900000000000006,14.871785366928886,0,0,0,0,0,0,Forward,1.185,0.0,0.2556472080569423,0.3007614209659599,634
10,35,Moussa Sissoko,Newcastle United,37,21,70.7,68.5,73.7,75.8,0.0,0,3.0,7.299999999999997,7.8924014089502545,0,0,0,0,0,0,Lateral,0.365,0.0,0.07874365480234932,0.09263959379964168,635
10,35,Ayoze Pérez Gutiérrez,Newcastle United,37,21,73.7,75.8,72.5,55.8,0.0,0,-1.2000000000000028,-20.0,20.035967658189108,0,0,0,0,0,0,Lateral,0.47,0.0,0.10139593906055938,0.1192893399611824,635
11,7,Gareth Barry,Everton,29,23,45.9,35.1,54.2,11.8,0.0,0,8.300000000000004,-23.3,24.734186867572586,0,0,0,0,0,0,Forward,1.0775000000000001,0.0,0.23245558369734629,0.27347715703866826,667
11,10,José Ramiro Funes Mori,Everton,29,23,54.2,11.8,48.6,27.3,0.0,0,-5.600000000000001,15.5,16.48059464946578,0,0,0,0,0,0,Backward,0.29666666666666663,0.0,0.06400169203113322,0.07529610820244846,670
11,13,Gareth Barry,Everton,29,23,49.8,32.0,57.5,63.4,0.0,0,7.700000000000003,31.4,32.33032632065442,0,0,0,0,0,0,Switch of Play,1.4625,0.0,0.3155139593107832,0.3711928929643176,673
11,30,Ross Barkley,Everton,29,24,75.3,69.9,80.9,71.6,0.0,0,5.6000000000000085,1.6999999999999886,5.852349955359817,0,1,0,0,0,0,Forward,1.7800000000000002,0.0,0.38401015218679946,0.45177664921469096,690
11,31,Aaron Lennon,Everton,29,24,80.9,71.6,74.7,69.9,0.0,0,-6.200000000000003,-1.6999999999999886,6.428841264178172,0,0,0,0,0,0,Backward,0.0,0.0,0.0,0.0,691
11,32,Ross Barkley,Everton,29,24,74.7,69.9,81.2,72.0,0.0,0,6.5,2.0999999999999943,6.830812543175225,0,1,0,0,0,0,Forward,1.8025000000000002,0.0,0.38886421309927305,0.4574873091064497,692
11,32,Aaron Lennon,Everton,29,24,81.2,72.0,74.7,69.8,0.0,0,-6.5,-2.200000000000003,6.8622153857191055,0,0,0,0,0,0,Backward,0.0,0.0,0.0,0.0,692
11,34,Ross Barkley,Everton,29,24,74.7,69.8,63.3,34.1,0.0,0,-11.400000000000006,-35.699999999999996,37.47599231508086,0,0,0,0,0,0,Switch of Play,1.21,0.0,0.26104060907080184,0.3071065986234697,694
11,38,José Ramiro Funes Mori,Everton,29,24,67.5,35.1,67.6,45.7,0.0,0,0.09999999999999432,10.600000000000001,10.600471687618436,0,0,0,0,0,0,Lateral,0.6524999999999999,0.0,0.140767766461734,0.1656091368610032,698
11,40,Gareth Barry,Everton,29,24,67.6,45.7,92.0,77.6,0.0,0,24.400000000000006,31.89999999999999,40.16179776852625,1,1,0,0,0,0,Switch of Play,2.6399999999999997,0.0,0.5695431470635676,0.6700507606330246,700
11,51,Ayoze Pérez Gutiérrez,Newcastle United,37,24,27.5,30.3,27.0,18.1,0.0,0,-0.5,-12.2,12.210241602851271,0,0,0,0,0,0,Lateral,0.2116666666666667,0.0,0.045664128584010796,0.0537225041669155,711
11,56,Séamus Coleman,Everton,29,24,69.0,58.8,56.5,58.7,0.0,0,-12.5,-0.09999999999999432,12.500399993600205,0,0,0,0,0,0,Backward,0.18166666666666664,0.0,0.039192047367379336,0.046108290977903844,716
11,59,John Stones,Everton,29,24,56.5,58.7,72.3,63.8,0.0,0,15.799999999999997,5.099999999999994,16.602710622064095,0,0,0,0,0,0,Forward,1.2650000000000001,0.0,0.27290609130129284,0.321065989469991,719
12,0,Gareth Barry,Everton,29,24,72.3,63.8,105.6,63.4,0.0,0,33.3,-0.3999999999999986,33.302402315748935,1,1,0,1,0,0,Cross,2.87,0.0,0.6191624363910755,0.728426395082114,720
12,13,Séamus Coleman,Everton,29,25,80.9,80.0,69.5,76.8,0.0,0,-11.400000000000006,-3.200000000000003,11.840608092492554,0,0,0,0,0,0,Backward,0.0,0.0,0.0,0.0,733
12,16,John Stones,Everton,29,25,69.8,76.5,79.2,78.4,0.0,0,9.400000000000006,1.9000000000000057,9.590099061010795,0,0,0,0,0,0,Forward,1.0250000000000001,0.0,0.22112944156824127,0.2601522839578979,736
12,18,Séamus Coleman,Everton,29,25,79.2,78.4,62.9,50.2,0.0,0,-16.300000000000004,-28.200000000000003,32.571920422351525,0,0,0,0,0,0,Backward,0.11833333333333328,0.0,0.025528764798935153,0.030033840912212582,738
12,22,José Ramiro Funes Mori,Everton,29,25,63.1,47.7,74.7,33.2,0.0,0,11.600000000000001,-14.5,18.569060288555264,0,0,0,0,0,0,Forward,1.44,0.0,0.3106598983983096,0.3654822330725589,742
12,26,Kevin Mirallas,Everton,29,25,74.7,33.2,77.9,42.0,0.0,0,3.200000000000003,8.799999999999997,9.363759928575698,0,0,0,0,0,0,Lateral,0.7300000000000001,0.0,0.15748730960469867,0.18527918759928338,746
12,26,Ross Barkley,Everton,29,25,77.9,42.0,75.4,31.5,0.0,0,-2.5,-10.5,10.793516572461451,0,0,0,0,0,0,Lateral,0.6083333333333334,0.0,0.1312394246705822,0.1543993229994028,746
